NCT Number,Study Results,Sex,Age,Study Type
NCT00369785,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00047385,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00980148,YES,ALL,"CHILD, ADULT",INTERVENTIONAL
NCT00477412,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00321555,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT03364348,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00405548,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00849251,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT03204812,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01118312,YES,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT03506412,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01778855,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01611948,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01198548,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01578551,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00248651,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00313612,YES,FEMALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00103012,YES,ALL,ADULT,INTERVENTIONAL
NCT00788125,YES,ALL,"CHILD, ADULT",INTERVENTIONAL
NCT02707055,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00993655,YES,FEMALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02996448,YES,ALL,ADULT,INTERVENTIONAL
NCT00025155,YES,FEMALE,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT03682055,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00451048,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02129348,YES,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01793051,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT04216251,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00630955,YES,ALL,ADULT,INTERVENTIONAL
NCT00994448,YES,ALL,"CHILD, ADULT",INTERVENTIONAL
NCT02849548,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00280748,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00387751,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00686712,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00136812,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01921751,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT03548051,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00474812,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT03637842,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00382265,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT03755765,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00728689,YES,ALL,ADULT,INTERVENTIONAL
NCT00081289,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00723489,YES,ALL,ADULT,INTERVENTIONAL
NCT01260688,YES,MALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT03941288,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00265889,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00456365,YES,ALL,"CHILD, ADULT",INTERVENTIONAL
NCT00218465,YES,FEMALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00383565,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00006489,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00550589,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00896389,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02924389,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01033942,YES,MALE,ADULT,INTERVENTIONAL
NCT02379442,YES,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01062165,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00053365,YES,FEMALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00447265,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00975689,YES,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01222689,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT03331289,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00356889,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00075088,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01910389,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01452789,YES,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01489189,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01654289,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00004088,YES,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00810888,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00509288,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00395538,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00453388,YES,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02266888,YES,ALL,"CHILD, ADULT",INTERVENTIONAL
NCT03824938,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00316589,YES,ALL,ADULT,INTERVENTIONAL
NCT01092338,YES,ALL,"CHILD, ADULT",INTERVENTIONAL
NCT00998738,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00987389,YES,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT03043365,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01791465,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00684788,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02339038,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00988442,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01239342,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01248065,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00054665,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02168842,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00065065,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00984165,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00159965,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01686165,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT04000165,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01885689,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00526292,YES,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00423930,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00551421,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01523821,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01415921,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01982942,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01156142,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00957242,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00384865,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00492089,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00334542,YES,FEMALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02200042,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00974142,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02642965,YES,ALL,"CHILD, ADULT",INTERVENTIONAL
NCT00322465,YES,MALE,"CHILD, ADULT",INTERVENTIONAL
NCT02440789,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00100789,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00913692,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02116530,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02882321,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT04225221,YES,FEMALE,ADULT,INTERVENTIONAL
NCT00085631,YES,FEMALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00772031,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00621530,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00956930,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00589121,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00026221,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00445692,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01928030,YES,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01105130,YES,MALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01395030,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00920621,YES,FEMALE,ADULT,INTERVENTIONAL
NCT01783821,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00467831,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00268242,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00040742,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT04623242,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT04464265,YES,ALL,ADULT,INTERVENTIONAL
NCT00499889,YES,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00564889,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT03405142,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT03423342,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02541565,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00040365,YES,MALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02475265,YES,FEMALE,ADULT,INTERVENTIONAL
NCT01498289,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00686842,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00765765,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01703065,YES,MALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01532089,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00810342,YES,FEMALE,ADULT,INTERVENTIONAL
NCT00409565,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02946489,YES,ALL,ADULT,INTERVENTIONAL
NCT01433289,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00120289,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00764322,YES,FEMALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00634647,YES,MALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00004547,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00513747,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT03291847,YES,FEMALE,ADULT,INTERVENTIONAL
NCT00509587,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT03048422,YES,FEMALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02663622,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01248247,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02065687,YES,FEMALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00084487,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01340885,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02793622,YES,FEMALE,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT03008122,YES,ALL,ADULT,INTERVENTIONAL
NCT00398047,YES,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00476047,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00030147,YES,FEMALE,ADULT,INTERVENTIONAL
NCT00130247,YES,ALL,ADULT,INTERVENTIONAL
NCT00090987,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00343785,YES,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00001322,YES,FEMALE,ADULT,INTERVENTIONAL
NCT00077922,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00058422,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00641147,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01236547,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01921387,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01207687,YES,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT04070287,YES,ALL,"CHILD, ADULT",INTERVENTIONAL
NCT01261247,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00466687,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00094887,YES,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02401022,YES,FEMALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00096122,YES,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01959347,YES,FEMALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02947087,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00064987,YES,MALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00217022,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00230022,YES,FEMALE,ADULT,INTERVENTIONAL
NCT03928847,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01262287,YES,MALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01225887,YES,FEMALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00939822,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02048722,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT04447287,YES,ALL,ADULT,INTERVENTIONAL
NCT01656187,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01786187,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00304187,YES,FEMALE,ADULT,INTERVENTIONAL
NCT00386022,YES,FEMALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01245647,YES,FEMALE,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00574847,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00019747,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02472847,YES,ALL,ADULT,INTERVENTIONAL
NCT04530747,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT04497987,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT03720847,YES,FEMALE,ADULT,INTERVENTIONAL
NCT00211887,YES,ALL,ADULT,INTERVENTIONAL
NCT00787787,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00098787,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02408887,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00924287,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00118248,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00344448,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00110812,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT01369212,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT02316548,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00416351,YES,ALL,"CHILD, ADULT, OLDER_ADULT",INTERVENTIONAL
NCT00568451,YES,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
